Parcours (ID);Parcours (libellé court);Ligne (ID);Ligne (nom court);Point d'arrêt (ID);Point d'arrêt (nom);Ordre;Montée autorisée;Descente autorisée
0011-B-3751-1746;;0011;11;1229;Servigné;4;true;true
0011-A-1746-1222;;0011;11;1217;Chèques Postaux;28;true;true
0014-A-1175-1222;;0014;14;1371;Lycée Mendès France;22;true;true
0011-B-3751-1746;;0011;11;1085;Laënnec;19;true;true
0011-A-1746-3751;;0011;11;1746;La Poterie;1;true;true
0014-A-1175-1222;;0014;14;1665;Atalante Champeaux;37;true;true
0011-B-3751-1746;;0011;11;1211;Serpette;22;true;true
0011-A-1746-3751;;0011;11;1070;CARSAT;6;true;true
0014-A-1175-1222;;0014;14;1419;Les Arts;38;true;true
0011-B-3751-1746;;0011;11;2032;Charmilles;28;true;true
0011-A-1746-3751;;0011;11;2122;Buisson;14;true;true
0014-A-2143-1222;;0014;14;2143;Monniais;1;true;true
0011-B-3751-1746;;0011;11;1746;La Poterie;39;true;true
0011-A-1746-3751;;0011;11;1210;Cimetière de l'Est;18;true;true
0014-A-2143-1222;;0014;14;2016;Taillis;6;true;true
0012-A-1669-1747;;0012;12;1675;Mandela;8;true;true
0011-A-1746-3751;;0011;11;1245;Serpette;19;true;true
0014-A-2143-1222;;0014;14;1177;Beaulieu - Université;10;true;true
0012-A-1669-1747;;0012;12;2826;Grand Quartier;10;true;true
0011-A-1746-3751;;0011;11;1212;Mouézy;20;true;true
0014-A-2143-1222;;0014;14;1178;Beaulieu Cité U;11;true;true
0012-A-1669-1747;;0012;12;1330;Auberge de Jeunesse;19;true;true
0011-A-1746-3751;;0011;11;1213;Croix Saint-Hélier;21;true;true
0014-A-2143-1222;;0014;14;1403;Saint-Exupéry;15;true;true
0012-A-1669-1747;;0012;12;1012;Sévigné;22;true;true
0011-A-1746-3751;;0011;11;1702;TNB;24;true;true
0014-A-2143-1222;;0014;14;1407;Longs Prés;19;true;true
0012-A-1669-1747;;0012;12;1339;Langevin;35;true;true
0011-A-1746-3751;;0011;11;1214;République;25;true;true
0014-A-2143-1222;;0014;14;1428;Hôtel de Région;20;true;true
0012-A-1669-1747;;0012;12;1340;Gide;36;true;true
0011-A-1746-3751;;0011;11;1226;Servigné;37;true;true
0014-A-2143-1222;;0014;14;1410;Hélias;21;true;true
0012-A-1669-1747;;0012;12;1747;La Poterie;39;true;true
0011-A-1746-3751;;0011;11;3753;Trois Marches;39;true;true
0014-A-2143-1222;;0014;14;1102;Donelière;28;true;true
0012-A-1669-1747-1356;;0012;12;1670;Normandie;3;true;true
0011-A-1746-3751;;0011;11;3751;ZI Ouest;40;true;true
0014-A-2143-1222;;0014;14;1305;Olympe de Gouges;36;true;true
0012-A-1669-1747-1356;;0012;12;1328;Lycée Mendès France;13;true;true
0011-B-1167-4151;;0011;11;1167;République;1;true;true
0014-A-2143-1222;;0014;14;1306;Bois Labbé;37;true;true
0012-A-1669-1747-1356;;0012;12;1703;TNB;25;true;true
0011-B-1167-4151;;0011;11;1211;Serpette;8;true;true
0012-A-1669-1747-1356;;0012;12;1140;Jacques Cartier;29;true;true
0011-B-1167-4151;;0011;11;2063;Monniais;15;true;true
0001-A-1732-3028;;0001;C1;1316;Raison;6;true;true
0012-A-1669-1747-1356;;0012;12;1339;Langevin;35;true;true
0011-B-1167-4151;;0011;11;2065;Cesson Gare;17;true;true
0001-A-1732-3028;;0001;C1;3008;Loges;12;true;true
0012-A-1669-1747-1356;;0012;12;1356;Galicie;39;true;true
0011-B-1167-4151;;0011;11;2103;Rigourdière;19;true;true
0001-A-2126-3028;;0001;C1;1008;Painlevé;11;true;true
0012-B-1747-1669;;0012;12;1359;Landrel;4;true;true
0011-B-1167-4151;;0011;11;4163;Turbanière;20;true;true
0001-A-2126-3028;;0001;C1;1012;Sévigné;15;true;true
